Player Name,Line Score,Stat Type
Bojan Bogdanovic,2.5,3-PT Made
Bojan Bogdanovic,17.5,Points
Bojan Bogdanovic,21.5,Pts+Rebs
Bojan Bogdanovic,20.5,Pts+Asts
Bojan Bogdanovic,23.5,Pts+Rebs+Asts
Anthony Edwards,32.5,Pts+Rebs
Anthony Edwards,28.5,Points
Anthony Edwards,4.5,Rebounds
Anthony Edwards,0.5,Blocked Shots
Anthony Edwards,37.5,Pts+Rebs+Asts
Anthony Edwards,9.5,Rebs+Asts
Anthony Edwards,2.5,Blks+Stls
Anthony Edwards,32.5,Pts+Asts
Isaiah Stewart,17.5,Pts+Rebs+Asts
Isaiah Stewart,11.5,Pts+Asts
Isaiah Stewart,9.5,Points
Isaiah Stewart,15.5,Pts+Rebs
Isaiah Stewart,1.5,3-PT Made
Isaiah Stewart,7.5,Rebs+Asts
Isaiah Stewart,0.5,Blocked Shots
Isaiah Stewart,1.5,Turnovers
Jaden Ivey,21.5,Pts+Rebs
Jaden Ivey,17.5,Points
Jaden Ivey,8.5,Rebs+Asts
Jaden Ivey,3.5,Turnovers
Jaden Ivey,26.5,Pts+Rebs+Asts
Jaden Ivey,22.5,Pts+Asts
Jalen Duren,24.5,Pts+Rebs
Jalen Duren,26.5,Pts+Rebs+Asts
Jalen Duren,13.5,Points
Jalen Duren,12.5,Rebs+Asts
Jalen Duren,10.5,Rebounds
Jalen Duren,15.5,Pts+Asts
Killian Hayes,12.5,Pts+Asts
Killian Hayes,8.5,Rebs+Asts
Killian Hayes,2.5,Rebounds
Brook Lopez,19.5,Pts+Rebs+Asts
Brook Lopez,0.5,Steals
Brook Lopez,14.5,Pts+Asts
Brook Lopez,12.5,Points
Brook Lopez,18.5,Pts+Rebs
Donovan Mitchell,1.5,Steals
Donovan Mitchell,47.5,Pts+Rebs+Asts
Donovan Mitchell,38.5,Pts+Rebs
Donovan Mitchell,41.5,Pts+Asts
Donovan Mitchell,33.5,Points
Donovan Mitchell,7.5,Assists
Damian Lillard,23.5,Points
Damian Lillard,6.5,Assists
Damian Lillard,34.5,Pts+Rebs+Asts
Damian Lillard,30.5,Pts+Asts
Damian Lillard,27.5,Pts+Rebs
Damian Lillard,10.5,Rebs+Asts
Jarrett Allen,3.5,Assists
Jarrett Allen,11.5,Rebounds
Jarrett Allen,28.5,Pts+Rebs
Jarrett Allen,20.5,Pts+Asts
Jarrett Allen,1.5,Turnovers
Jarrett Allen,16.5,Points
Jarrett Allen,15.5,Rebs+Asts
Jarrett Allen,32.5,Pts+Rebs+Asts
Giannis Antetokounmpo,51.5,Pts+Rebs+Asts
Giannis Antetokounmpo,39.5,Pts+Asts
Giannis Antetokounmpo,18.5,Rebs+Asts
Giannis Antetokounmpo,32.5,Points
Giannis Antetokounmpo,3.5,Turnovers
Khris Middleton,16.5,Points
Khris Middleton,26.5,Pts+Rebs+Asts
Khris Middleton,1.5,Blks+Stls
Khris Middleton,22.5,Pts+Asts
Khris Middleton,20.5,Pts+Rebs
Khris Middleton,10.5,Rebs+Asts
Malik Beasley,14.5,Pts+Rebs
Malik Beasley,0.5,Turnovers
Malik Beasley,10.5,Points
Malik Beasley,11.5,Pts+Asts
