Player Name,Line Score,Stat Type
Tre Jones + LaMelo Ball,15.0,Assists (Combo)
Joel Embiid + Paolo Banchero,60.0,Points (Combo)
Tyrese Maxey + Paolo Banchero,52.5,Points (Combo)
Joel Embiid + Paolo Banchero,18.5,Rebounds (Combo)
Tyrese Maxey + Paolo Banchero,11.5,Assists (Combo)
Nikola Jokic + Jayson Tatum,53.5,Points (Combo)
Jamal Murray + Jaylen Brown,46.5,Points (Combo)
Nikola Jokic + Jayson Tatum,20.0,Rebounds (Combo)
Michael Porter Jr. + Jayson Tatum,6.0,3-PT Made (Combo)
Kevin Durant + Brandon Ingram,45.5,Points (Combo)
Devin Booker + Zion Williamson,49.5,Points (Combo)
Jusuf Nurkic + Jonas Valanciunas,18.5,Rebounds (Combo)
Devin Booker + CJ McCollum,12.5,Assists (Combo)
Dejounte Murray + Bam Adebayo,47.5,Points (Combo)
Clint Capela + Bam Adebayo ,19.5,Rebounds (Combo)
LaMelo Ball,20.0,FG Attempted
LaMelo Ball,26.5,Points
LaMelo Ball,7.0,Rebounds
LaMelo Ball,8.0,Assists
LaMelo Ball,1.5,Steals
LaMelo Ball,3.5,3-PT Made
LaMelo Ball,3.5,Turnovers
LaMelo Ball,41.5,Pts+Rebs+Asts
LaMelo Ball,34.5,Pts+Asts
LaMelo Ball,33.5,Pts+Rebs
LaMelo Ball,15.0,Rebs+Asts
LaMelo Ball,3.0,Free Throws Made
LaMelo Ball,9.5,3-PT Attempted
LaMelo Ball,48.5,Fantasy Score
Devin Vassell,4.0,Rebounds
Devin Vassell,1.5,Turnovers
Devin Vassell,23.5,Pts+Rebs
Devin Vassell,1.5,Blks+Stls
Devin Vassell,2.5,3-PT Made
Devin Vassell,7.5,Rebs+Asts
Devin Vassell,20.0,Points
Devin Vassell,27.5,Pts+Rebs+Asts
Devin Vassell,23.5,Pts+Asts
Terry Rozier,34.0,Pts+Rebs+Asts
Terry Rozier,9.0,3-PT Attempted
Terry Rozier,41.0,Fantasy Score
Terry Rozier,28.5,Pts+Rebs
Terry Rozier,1.5,Blks+Stls
Terry Rozier,1.5,Turnovers
Terry Rozier,3.5,Free Throws Made
Terry Rozier,4.0,Rebounds
Terry Rozier,29.5,Pts+Asts
