Player Name,Line Score,Stat Type
Donovan Mitchell,3.5,Turnovers
Donovan Mitchell,30.5,Pts+Rebs
Donovan Mitchell,30.5,Pts+Asts
Donovan Mitchell,25.5,Points
Donovan Mitchell,4.5,Rebounds
Donovan Mitchell,5.0,Assists
Donovan Mitchell,10.0,Rebs+Asts
Donovan Mitchell,35.5,Pts+Rebs+Asts
Donovan Mitchell,1.5,Steals
Donovan Mitchell,2.5,3-PT Made
Paolo Banchero,32.5,Pts+Rebs
Paolo Banchero,13.0,Rebs+Asts
Paolo Banchero,24.5,Points
Paolo Banchero,37.5,Pts+Rebs+Asts
Jalen Suggs,1.5,Steals
Jalen Suggs,0.5,Blocked Shots
Paolo Banchero,4.5,Turnovers
Paolo Banchero,5.0,Assists
Paolo Banchero,29.5,Pts+Asts
Paolo Banchero,8.0,Rebounds
Evan Mobley,28.5,Pts+Rebs+Asts
Evan Mobley,15.0,Points
Evan Mobley,1.5,Turnovers
Evan Mobley,25.5,Pts+Rebs
Evan Mobley,18.5,Pts+Asts
Franz Wagner,1.5,Blks+Stls
Evan Mobley,13.5,Rebs+Asts
Evan Mobley,10.0,Rebounds
Jalen Suggs,1.5,Turnovers
Paolo Banchero,0.5,Blocked Shots
Franz Wagner,4.5,Assists
Franz Wagner,24.5,Pts+Asts
Paolo Banchero,1.5,Blks+Stls
Franz Wagner,11.5,Rebs+Asts
Franz Wagner,6.5,Rebounds
Franz Wagner,19.5,Points
Franz Wagner,25.5,Pts+Rebs
Franz Wagner,30.5,Pts+Rebs+Asts
Darius Garland,17.0,Points
Darius Garland,6.0,Assists
Darius Garland,20.5,Pts+Rebs
Darius Garland,26.5,Pts+Rebs+Asts
Darius Garland,9.0,Rebs+Asts
Darius Garland,23.5,Pts+Asts
Jalen Suggs,16.5,Pts+Asts
Jalen Suggs,21.0,Pts+Rebs+Asts
Jalen Suggs,17.5,Pts+Rebs
Jalen Suggs,13.5,Points
Max Strus,9.5,Points
Max Strus,18.5,Pts+Rebs+Asts
Max Strus,5.0,Rebounds
Max Strus,8.5,Rebs+Asts
Max Strus,15.0,Pts+Rebs
Max Strus,13.5,Pts+Asts
Wendell Carter Jr.,0.5,Blocked Shots
Wendell Carter Jr.,8.5,Rebs+Asts
Wendell Carter Jr.,15.5,Pts+Rebs
Wendell Carter Jr.,8.5,Points
Wendell Carter Jr.,16.5,Pts+Rebs+Asts
Wendell Carter Jr.,0.5,Steals
Jarrett Allen,14.5,Points
Jarrett Allen,25.5,Pts+Rebs
Jarrett Allen,16.5,Pts+Asts
Jarrett Allen,27.5,Pts+Rebs+Asts
Jarrett Allen,12.5,Rebs+Asts
Jarrett Allen,10.5,Rebounds
Evan Mobley,7.5,Rebounds
Darius Garland,1.5,3-PT Made
Max Strus,2.5,Assists
Paolo Banchero,0.5,Steals
Wendell Carter Jr.,9.5,Points
Donovan Mitchell,19.5,Points
Donovan Mitchell,0.5,Blocked Shots
Jarrett Allen,10.5,Points
Darius Garland,19.5,Points
Jalen Suggs,15.5,Points
Evan Mobley,10.5,Points
Donovan Mitchell,29.5,Points
Wendell Carter Jr.,4.5,Points
Paolo Banchero,19.5,Points
Evan Mobley,0.5,3-PT Made
Donovan Mitchell,3.5,Rebounds
Paolo Banchero,5.5,Rebounds
Franz Wagner,4.5,Rebounds
Franz Wagner,14.5,Points
Franz Wagner,0.5,3-PT Made
Max Strus,11.5,Points
Darius Garland,2.5,3-PT Made
Franz Wagner,3.5,Assists
Max Strus,6.5,Points
Jalen Suggs,9.5,Points
Franz Wagner,21.5,Points
Jalen Suggs,2.5,Rebounds
Max Strus,3.5,Rebounds
Evan Mobley,1.5,Assists
Evan Mobley,2.5,Blocked Shots
Jarrett Allen,1.5,Steals
Paolo Banchero,2.5,3-PT Made
Darius Garland,3.5,Rebounds
Max Strus,5.5,Rebounds
Paolo Banchero,3.5,Assists
Paolo Banchero,29.5,Points
Franz Wagner,2.5,3-PT Made
Jarrett Allen,12.5,Rebounds
Jarrett Allen,16.5,Points
Donovan Mitchell,1.5,3-PT Made
Jalen Suggs,1.5,3-PT Made
Jarrett Allen,1.5,Assists
Donovan Mitchell,5.5,Assists
Wendell Carter Jr.,8.5,Rebounds
Evan Mobley,17.5,Points
Donovan Mitchell,5.5,Rebounds
Wendell Carter Jr.,0.5,Assists
Jarrett Allen,1.5,Blocked Shots
Franz Wagner,7.5,Rebounds
Jalen Suggs,4.5,Rebounds
Evan Mobley,11.5,Rebounds
Jarrett Allen,8.5,Rebounds
Wendell Carter Jr.,5.5,Rebounds
Donovan Mitchell,0.5,Steals
Donovan Mitchell,3.5,3-PT Made
Evan Mobley,3.5,Assists
Jarrett Allen,2.5,Assists
Jalen Suggs,4.5,Assists
Jalen Suggs,2.5,3-PT Made
Franz Wagner,5.5,Assists
Jalen Suggs,2.5,Assists
Max Strus,2.5,3-PT Made
Evan Mobley,1.5,Steals
Paolo Banchero,5.5,Assists
Max Strus,1.5,3-PT Made
Max Strus,0.5,Blocked Shots
Donovan Mitchell,3.5,Assists
Franz Wagner,0.5,Steals
Evan Mobley,1.5,Blocked Shots
Jarrett Allen,0.5,Blocked Shots
Jalen Suggs,0.5,Steals
Max Strus,0.5,Steals
Wendell Carter Jr.,2.5,Assists
Max Strus,4.5,Assists
Paolo Banchero,9.5,Rebounds
Donovan Mitchell,2.5,Steals
Paolo Banchero,1.5,Steals
Evan Mobley,0.5,Steals
Jarrett Allen,0.5,Steals
Jalen Suggs,1.5,Blocked Shots
Jalen Suggs,2.5,Steals
Franz Wagner,1.5,Steals
Max Strus,1.5,Steals
Luka Doncic,33.0,Points
Luka Doncic,43.5,Pts+Rebs
Luka Doncic,3.5,3-PT Made
Luka Doncic,43.5,Pts+Asts
Luka Doncic,9.5,Rebounds
Luka Doncic,53.5,Pts+Rebs+Asts
Luka Doncic,9.5,Assists
Luka Doncic,19.5,Rebs+Asts
Luka Doncic,3.5,Turnovers
Paul George,30.5,Pts+Rebs
Paul George,28.5,Pts+Asts
Paul George,0.5,Blocked Shots
Paul George,34.5,Pts+Rebs+Asts
Paul George,24.5,Points
Paul George,10.0,Rebs+Asts
Paul George,2.5,Turnovers
Paul George,4.0,Assists
Kyrie Irving,34.5,Pts+Rebs+Asts
Kyrie Irving,10.0,Rebs+Asts
Kyrie Irving,5.0,Rebounds
Kyrie Irving,29.5,Pts+Rebs
Kyrie Irving,1.5,Steals
Kyrie Irving,24.5,Points
Kyrie Irving,29.5,Pts+Asts
Kyrie Irving,5.0,Assists
James Harden,5.0,Rebounds
James Harden,28.5,Pts+Asts
James Harden,20.5,Points
James Harden,25.5,Pts+Rebs
James Harden,8.0,Assists
James Harden,0.5,Blocked Shots
James Harden,1.5,Blks+Stls
James Harden,13.5,Rebs+Asts
James Harden,33.5,Pts+Rebs+Asts
P.J. Washington,16.5,Pts+Rebs
P.J. Washington,10.5,Points
P.J. Washington,2.5,Blks+Stls
P.J. Washington,5.5,Rebounds
P.J. Washington,12.5,Pts+Asts
P.J. Washington,18.5,Pts+Rebs+Asts
Ivica Zubac,13.5,Points
Ivica Zubac,1.5,Turnovers
Ivica Zubac,10.0,Rebounds
Ivica Zubac,24.5,Pts+Rebs
Ivica Zubac,15.5,Pts+Asts
Ivica Zubac,11.5,Rebs+Asts
Ivica Zubac,25.5,Pts+Rebs+Asts
Derrick Jones Jr.,10.5,Pts+Asts
Derrick Jones Jr.,9.5,Points
Derrick Jones Jr.,14.5,Pts+Rebs
Terance Mann,0.5,Steals
Terance Mann,10.5,Points
Terance Mann,14.5,Pts+Rebs
Terance Mann,12.5,Pts+Asts
Terance Mann,16.5,Pts+Rebs+Asts
Daniel Gafford,12.5,Pts+Rebs
Daniel Gafford,8.0,Points
Daniel Gafford,0.5,Steals
Daniel Gafford,5.0,Rebounds
Daniel Gafford,0.5,Turnovers
Mason Plumlee,0.5,Blks+Stls
Dereck Lively II,13.5,Pts+Rebs
Dereck Lively II,5.5,Rebounds
Dereck Lively II,0.5,Steals
Amir Coffey,0.5,Steals
Maxi Kleber,0.5,Turnovers
Josh Green,0.5,3-PT Made
Josh Green,0.5,Steals
Terance Mann,0.5,Assists
Dereck Lively II,1.5,Blocked Shots
P.J. Washington,1.5,Steals
Paul George,1.5,Steals
P.J. Washington,6.5,Rebounds
P.J. Washington,1.5,Blocked Shots
Amir Coffey,2.5,Points
Daniel Gafford,4.5,Points
Luka Doncic,2.5,3-PT Made
Maxi Kleber,1.5,Blocked Shots
Kyrie Irving,3.5,Assists
Ivica Zubac,1.5,Assists
Derrick Jones Jr.,5.5,Rebounds
Paul George,26.5,Points
Derrick Jones Jr.,11.5,Points
Daniel Gafford,9.5,Points
Derrick Jones Jr.,6.5,Points
Terance Mann,1.5,3-PT Made
Daniel Gafford,5.5,Rebounds
Kyrie Irving,2.5,3-PT Made
James Harden,6.5,Assists
Luka Doncic,7.5,Rebounds
James Harden,6.5,Rebounds
Kyrie Irving,5.5,Rebounds
Luka Doncic,35.5,Points
James Harden,24.5,Points
Mason Plumlee,4.5,Rebounds
Mason Plumlee,1.5,Points
Luka Doncic,27.5,Points
Ivica Zubac,0.5,Blocked Shots
Amir Coffey,2.5,Rebounds
James Harden,2.5,3-PT Made
Paul George,3.5,3-PT Made
Josh Green,2.5,Rebounds
Terance Mann,4.5,Rebounds
Derrick Jones Jr.,0.5,3-PT Made
Josh Green,0.5,Rebounds
Josh Green,2.5,Points
Josh Green,1.5,Assists
Kyrie Irving,4.5,3-PT Made
James Harden,3.5,Rebounds
James Harden,0.5,Steals
James Harden,9.5,Assists
Paul George,19.5,Points
Derrick Jones Jr.,1.5,Assists
Terance Mann,2.5,Assists
P.J. Washington,0.5,Blocked Shots
Kyrie Irving,2.5,Steals
Luka Doncic,7.5,Assists
Ivica Zubac,1.5,Blocked Shots
Luka Doncic,10.5,Assists
Josh Green,0.5,Blocked Shots
Amir Coffey,8.5,Points
Ivica Zubac,15.5,Points
Daniel Gafford,1.5,Blocked Shots
Terance Mann,0.5,Blocked Shots
Terance Mann,7.5,Points
Derrick Jones Jr.,0.5,Assists
Dereck Lively II,3.5,Rebounds
Terance Mann,2.5,Rebounds
